カテゴリ,略称,タイトル,学会,著者所属,Paper URL,Website URL,タスク,Domain,ロボット,Training,Evaluation,Modality,Dataset,Backbone,Action Generation,概要
Review,,A Survey on Vision-Language-Action Models for Embodied AI,,China,https://arxiv.org/abs/2405.14093,,,,,,,,,,,"非常に幅広いが, LLMのplanningへの利用なども含み, 近年のVLAに対するsurveyとはなっていない"
Review,,"Vision-Language-Action Models: Concepts, Progress, Applications and Challenges",,"Cornell University, HKUST",https://arxiv.org/abs/2505.04769,,,,,,,,,,,"近年のVLAを良くまとめているが, 体系的にアーキテクチャがまとまっているわけではない.  また, affordanceによるやつとかは無視している"
Review,,A Survey on Vision-Language-Action Models: An Action Tokenization Perspective,,"Peking University, PsiBot",https://arxiv.org/abs/2507.01925,,,,,,,,,,,
"3D, End-to-End, Policy",Mamba Policy,Mamba Policy: Towards Efficient 3D Diffusion Policy with Hybrid Selective State Models,IROS,"Beijing Innovation Center of Humanoid Robotics, HKUST, Zhejiang University",https://arxiv.org/abs/2409.07163,https://andycao1125.github.io/mamba_policy/,Manipulation,Tabletop,Franka Emika Panda,Supervised,"Adroit, DexArt, MetaWorld","PointCloud, Proprioception",,Mamba,Diffusion,Mambaアーキテクチャを用いたPolicy
"Planning, Policy",ViLa,Look Before You Leap: Unveiling the Power of GPT-4V in Robotic Vision-Language Planning,,"Shanghai Artificial Intelligence Laboratory, Tsinghua University",https://arxiv.org/abs/2311.17842,https://robot-vila.github.io/,Manipulation,Tabletop,Franka Emika Panda,,RAVENS,"Language, Vision",,GPT,Primitive,ChatGPT-4Vを使ってsubtaskに分解+実行
Special,VLATest,VLATest: Testing and Evaluating Vision-Language-Action Models for Robotic Manipulation,,,https://arxiv.org/abs/2409.12894,,,,,,,,,,,7つのVLAのperformanceを比較
Special,RevLA,ReVLA: Reverting Visual Domain Limitation of Robotic Foundation Models,,,https://arxiv.org/abs/2409.15250,,,,,,,,,,,vision encoderの破壊的忘却を防ぐには？
Special,Adversarial,Exploring the Adversarial Vulnerabilities of Vision-Language-Action Models in Robotics,,,https://arxiv.org/abs/2411.13587,,,,,,,,,,,VLAのadversarial attackについて
Special,,Grounding Multimodal Large Language Models in Actions,,,https://arxiv.org/abs/2406.07904,,,,,,,,,,,どのaction space representationが一番良いのか？
Special,,Probing a Vision-Language-Action Model for Symbolic States and Integration into a Cognitive Architecture,,,https://arxiv.org/abs/2502.04558,,,,,,,,,,,
Special,,"Benchmarking Vision, Language, & Action Models on Robotic Learning Tasks",,,https://arxiv.org/abs/2411.05821,,,,,,,,,,,
Special,,Manipulation Facing Threats: Evaluating Physical Vulnerabilities in End-to-End Vision Language Action Models,,,https://arxiv.org/abs/2409.13174,,,,,,,,,,,
Dataset,Epic-Kitchens,Scaling Egocentric Vision: The EPIC-KITCHENS Dataset,ECCV,University of Bristol,https://arxiv.org/abs/1804.02748,https://epic-kitchens.github.io/2025,,,Human,,,,,,,EPIC-KITCHENSは、55時間の自然なキッチン活動をマルチアノテーションして作成されたEPIC-KITCHENSは、オブジェクト・行動・未来予測を網羅する最大規模のegocentricデータセットであり、既存の手法が20%以下の性能にとどまるほど難易度が高い。このベンチマークは、実使用時点でのビジョン研究の新たな基準点と課題を提示します。
Dataset,Robosuite,robosuite: A Modular Simulation Framework and Benchmark for Robot Learning,,University of Texas at Austin,https://arxiv.org/abs/2009.12293,https://robosuite.ai/,Manipulation,,Simulation,,,,,,,"robosuite v1.5は、MuJoCoベースのモジュラーシミュレーションと9つのベンチマークタスクにより、再現可能なロボット学習研究をサポートします。
さまざまなロボット・センサー・コントローラの組み合わせと手続き型環境APIにより、新しいタスクの定義とsim-to-real研究を迅速に行うことができます。"
VLM for Robotics,CLIP,Learning Transferable Visual Models From Natural Language Supervision,,,https://arxiv.org/abs/2103.00020,,,,,,,,,,,
"Affordance, End-to-End",CLIPort,CLIPort: What and Where Pathways for Robotic Manipulation,CoRL,"NVIDIA, University of Washington",https://arxiv.org/abs/2109.12098,https://cliport.github.io/,Manipulation,Tabletop,Franka Emika Panda,Supervised,RAVENS,"Depth, Language, Vision",,CLIP,Heatmap,Transporter Network + CLIP
